Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
3930,90264.49,30.39,93.75,Ext,15,5.576,10.446,24
3931,90264.52,30.42,67,Ext,10,6.261,10.76,24
4012,91891.18,5.16,103,Ext,10,0.685,1.885,24
4050,92644.63,15.54,87.25,Int,10,14.869,5.498,24
4102,93591.59,0.23,75,Ext,19,0.587,2.54,24
4119,93926.12,16.35,90,Int,13,0.685,2.592,24
4123,93974.48,6.4,85.5,Int,7,2.642,7.645,24
4125,93989.03,0.95,32.25,Ext,16,1.468,8.169,24
4188,95570.22,15.66,117.25,Ext,14,0.783,2.906,24
4189,95572.47,17.9,74.75,Ext,35,0.685,3.954,24
4209,96336.8,31.62,90.5,Ext,8,3.815,5.943,24
4222,96792.84,20.4,87,Int,11,1.37,1.388,24
4251,97764.52,28.68,84,Ext,9,0.881,3.273,24
4252,97764.75,28.91,81,Ext,7,1.957,3.98,24
4253,97764.95,29.11,78.5,Ext,4,0.294,0.917,24
4254,97765.28,29.44,80.25,Ext,8,0.196,0.891,24
4258,97877.83,25.85,80.5,Ext,10,0.685,1.781,24
4259,97878.08,26.1,74.25,Ext,7,0.196,0.734,24
4260,97886.05,34.07,116.75,Ext,3,0.294,1.048,24
4261,97886.19,34.21,123.5,Ext,5,0.294,0.812,24
4262,97886.36,34.38,113,Ext,2,0.294,1.022,24
